feature,delta_mean_p1,abs_effect,direction,target
 Operating time (min),0.1180645827503562,0.1180645827503562,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 8.0,0.11684900547927188,0.11684900547927188,+,Pharyngo-/oro-cutaneous fistula
 PICC/CVC (0: no; 1: si),0.06263528596581594,0.06263528596581594,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 16.0,0.0422190621790986,0.0422190621790986,+,Pharyngo-/oro-cutaneous fistula
 Stage,0.040140933684960994,0.040140933684960994,+,Pharyngo-/oro-cutaneous fistula
 T,0.03782147495728708,0.03782147495728708,+,Pharyngo-/oro-cutaneous fistula
 Tracheostomy,0.03279231401899024,0.03279231401899024,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 13.0,0.02917922781420365,0.02917922781420365,+,Pharyngo-/oro-cutaneous fistula
 Site ID 3,-0.02548866500317079,0.02548866500317079,-,Pharyngo-/oro-cutaneous fistula
 ASA score,0.023992771005603097,0.023992771005603097,+,Pharyngo-/oro-cutaneous fistula
 Significant weight loss? (0: no; 1: yes) 1.0,0.02287709019844672,0.02287709019844672,+,Pharyngo-/oro-cutaneous fistula
 Site ID 5,0.02165507724520349,0.02165507724520349,+,Pharyngo-/oro-cutaneous fistula
 N,-0.02043910288050732,0.02043910288050732,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 10.0,-0.018543427602711077,0.018543427602711077,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 7.0,-0.015718430363531016,0.015718430363531016,-,Pharyngo-/oro-cutaneous fistula
 BMI,-0.014063882226635016,0.014063882226635016,-,Pharyngo-/oro-cutaneous fistula
 Site ID 4,0.012627076561338851,0.012627076561338851,+,Pharyngo-/oro-cutaneous fistula
 Site ID 11,0.011377999697680746,0.011377999697680746,+,Pharyngo-/oro-cutaneous fistula
 0: normal weight; 1: underweight; 2: overweight 1.0,-0.011193873656569764,0.011193873656569764,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 9.0,-0.011014220408130548,0.011014220408130548,-,Pharyngo-/oro-cutaneous fistula
 High blood pressure,-0.010359073766370436,0.010359073766370436,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 3.0,0.009714484390921208,0.009714484390921208,+,Pharyngo-/oro-cutaneous fistula
 Previous radiotherapy on H&N discricts,-0.009264585895999239,0.009264585895999239,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 19.0,-0.008175334357563208,0.008175334357563208,-,Pharyngo-/oro-cutaneous fistula
" Type of surgery (1=clean, 2=clean-contaminated) 2.0",0.008066807773176754,0.008066807773176754,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 5.0,-0.008009592261877474,0.008009592261877474,-,Pharyngo-/oro-cutaneous fistula
 Age at diagnosis,-0.0076699103514564215,0.0076699103514564215,-,Pharyngo-/oro-cutaneous fistula
 Site ID 6,0.007641207950683543,0.007641207950683543,+,Pharyngo-/oro-cutaneous fistula
 Site ID 1,-0.007256743468664312,0.007256743468664312,-,Pharyngo-/oro-cutaneous fistula
 Nasogastric tube,0.006884882944909021,0.006884882944909021,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 17.0,-0.006417821324944839,0.006417821324944839,-,Pharyngo-/oro-cutaneous fistula
" Alcohol (0: no; 1: yes, 2: ex) 2.0",0.006399580462966237,0.006399580462966237,+,Pharyngo-/oro-cutaneous fistula
 Significant weight loss? (0: no; 1: yes) -1,-0.0061842553747928075,0.0061842553747928075,-,Pharyngo-/oro-cutaneous fistula
 Smoking (0: no; 1: yes; 2: ex) 1.0,0.0058754791651537686,0.0058754791651537686,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 2.0,0.0057285332900415264,0.0057285332900415264,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 6.0,-0.005680347232241534,0.005680347232241534,-,Pharyngo-/oro-cutaneous fistula
